Tubss,Lon,Lat,Month,tmax_2017,tmin_2017
CP1,-122.9,38.4,Jan,12.78265285,3.274158716
CP2,-122.5,38.6,Jan,11.52587414,3.219541788
CP3,-122.9,38.4,Jan,12.78265285,3.274158716
CP4,-122.5,38.7,Jan,11.9305172,2.53137517
CP,-122.720306,38.44466,Jan,13.98404503,3.793375015
CP1,-122.9,38.4,Feb,15.7342453,6.328453541
CP2,-122.5,38.6,Feb,13.12896824,5.290589333
CP3,-122.9,38.4,Feb,15.7342453,6.328453541
CP4,-122.5,38.7,Feb,14.15151024,5.157538414
CP5,-122.720306,38.44466,Feb,17.1687603,7.11689949
CP1,-122.9,38.4,March,18.5506115,6.54608345
CP2,-122.5,38.6,March,16.1216507,5.211663246
CP3,-122.9,38.4,March,18.5506115,6.54608345
CP4,-122.5,38.7,March,17.52332497,5.715649605
CP5,-122.720306,38.44466,March,19.97671509,7.344899654
CP1,-122.9,38.4,April,19.5115757,6.422579765
CP2,-122.5,38.6,April,17.96426392,5.691334248
CP3,-122.9,38.4,April,19.5115757,6.422579765
CP4,-122.5,38.7,April,19.50501823,6.318857193
CP5,-122.720306,38.44466,April,21.26821136,7.369329929
CP1,-122.9,38.4,May,23.38406944,8.505278587
CP2,-122.5,38.6,May,23.50211525,8.634742737
CP3,-122.9,38.4,May,23.38406944,8.505278587
CP4,-122.5,38.7,May,25.21638298,9.460382462
CP5,-122.720306,38.44466,May,25.78565979,9.841881752
CP1,-122.9,38.4,June,25.12506866,9.572156906
CP2,-122.5,38.6,June,26.54128647,10.81832504
CP3,-122.9,38.4,June,25.12506866,9.572156906
CP4,-122.5,38.7,June,28.41072464,11.65710831
CP5,-122.720306,38.44466,June,28.00103188,11.39713573
CP1,-122.9,38.4,July,28.9362011,11.32204056
CP2,-122.5,38.6,July,32.20189667,14.08378124
CP3,-122.9,38.4,July,28.9362011,11.32204056
CP4,-122.5,38.7,July,34.18906403,14.69979572
CP5,-122.720306,38.44466,July,31.80142593,13.03821182
CP1,-122.9,38.4,August,28.56406021,12.34963417
CP2,-122.5,38.6,August,31.82627869,14.71720314
CP3,-122.9,38.4,August,28.56406021,12.34963417
CP4,-122.5,38.7,August,33.63718414,15.05264282
CP5,-122.720306,38.44466,August,31.08826637,13.80994797
CP1,-122.9,38.4,September,27.93835449,11.37419796
CP2,-122.5,38.6,September,29.03733444,13.31174469
CP3,-122.9,38.4,September,27.93835449,11.37419796
CP4,-122.5,38.7,September,30.39796829,13.26223946
CP5,-122.720306,38.44466,September,30.13777351,12.81321144
CP1,-122.9,38.4,October,24.66725922,7.222384453
CP2,-122.5,38.6,October,23.91052246,8.410995483
CP3,-122.9,38.4,October,24.66725922,7.222384453
CP4,-122.5,38.7,October,24.93420792,7.891124725
CP5,-122.720306,38.44466,October,26.24231911,8.074902534
CP1,-122.9,38.4,November,19.17967415,7.202578545
CP2,-122.5,38.6,November,17.00025368,7.250799656
CP3,-122.9,38.4,November,19.17967415,7.202578545
CP4,-122.5,38.7,November,17.74126816,6.730072975
CP5,-122.720306,38.44466,November,20.01301765,7.615711212
CP1,-122.9,38.4,December,16.17147636,2.445305586
CP2,-122.5,38.6,December,14.46452999,2.39878583
CP3,-122.9,38.4,December,16.17147636,2.445305586
CP4,-122.5,38.7,December,14.78057671,1.688670158
CP5,-122.720306,38.44466,December,17.1171875,2.718309164
