Tubss,Lon,Lat,Model,Month,tmax_RCP85,tmin_RCP85
CP1,-122.9,38.4,BCC.CSM2.MR,Jan,17.5,7.199999809
CP2,-122.5,38.6,BCC.CSM2.MR,Jan,16.39999962,7.300000191
CP3,-122.9,38.4,BCC.CSM2.MR,Jan,17.5,7.199999809
CP4,-122.5,38.7,BCC.CSM2.MR,Jan,16.79999924,6.699999809
CP5,-122.720306,38.44466,BCC.CSM2.MR,Jan,18.70000076,7.699999809
CP1,-122.9,38.4,BCC.CSM2.MR,Feb,20.10000038,8.199999809
CP2,-122.5,38.6,BCC.CSM2.MR,Feb,17.79999924,7.199999809
CP3,-122.9,38.4,BCC.CSM2.MR,Feb,20.10000038,8.199999809
CP4,-122.5,38.7,BCC.CSM2.MR,Feb,18.79999924,7
CP5,-122.720306,38.44466,BCC.CSM2.MR,Feb,21.70000076,9
CP1,-122.9,38.4,BCC.CSM2.MR,March,20.79999924,8.800000191
CP2,-122.5,38.6,BCC.CSM2.MR,March,18.60000038,7.400000095
CP3,-122.9,38.4,BCC.CSM2.MR,March,20.79999924,8.800000191
CP4,-122.5,38.7,BCC.CSM2.MR,March,20,7.900000095
CP5,-122.720306,38.44466,BCC.CSM2.MR,March,22.29999924,9.600000381
CP1,-122.9,38.4,BCC.CSM2.MR,April,23.29999924,8.699999809
CP2,-122.5,38.6,BCC.CSM2.MR,April,21.89999962,7.599999905
CP3,-122.9,38.4,BCC.CSM2.MR,April,23.29999924,8.699999809
CP4,-122.5,38.7,BCC.CSM2.MR,April,23.5,8.100000381
CP5,-122.720306,38.44466,BCC.CSM2.MR,April,25.10000038,9.5
CP1,-122.9,38.4,BCC.CSM2.MR,May,26,10.39999962
CP2,-122.5,38.6,BCC.CSM2.MR,May,26.29999924,10.19999981
CP3,-122.9,38.4,BCC.CSM2.MR,May,26,10.39999962
CP4,-122.5,38.7,BCC.CSM2.MR,May,28,11
CP5,-122.720306,38.44466,BCC.CSM2.MR,May,28.39999962,11.60000038
CP1,-122.9,38.4,BCC.CSM2.MR,June,29.10000038,12.5
CP2,-122.5,38.6,BCC.CSM2.MR,June,30.79999924,13.5
CP3,-122.9,38.4,BCC.CSM2.MR,June,29.10000038,12.5
CP4,-122.5,38.7,BCC.CSM2.MR,June,32.70000076,14.30000019
CP5,-122.720306,38.44466,BCC.CSM2.MR,June,32,14.19999981
CP1,-122.9,38.4,BCC.CSM2.MR,July,31.79999924,13.89999962
CP2,-122.5,38.6,BCC.CSM2.MR,July,35.70000076,16.79999924
CP3,-122.9,38.4,BCC.CSM2.MR,July,31.79999924,13.89999962
CP4,-122.5,38.7,BCC.CSM2.MR,July,37.79999924,17.39999962
CP5,-122.720306,38.44466,BCC.CSM2.MR,July,34.90000153,15.60000038
CP1,-122.9,38.4,BCC.CSM2.MR,August,31.5,14.19999981
CP2,-122.5,38.6,BCC.CSM2.MR,August,35.29999924,16.79999924
CP3,-122.9,38.4,BCC.CSM2.MR,August,31.5,14.19999981
CP4,-122.5,38.7,BCC.CSM2.MR,August,37.09999847,17.10000038
CP5,-122.720306,38.44466,BCC.CSM2.MR,August,34.09999847,15.69999981
CP1,-122.9,38.4,BCC.CSM2.MR,September,31.29999924,14
CP2,-122.5,38.6,BCC.CSM2.MR,September,32.79999924,16
CP3,-122.9,38.4,BCC.CSM2.MR,September,31.29999924,14
CP4,-122.5,38.7,BCC.CSM2.MR,September,34.20000076,15.89999962
CP5,-122.720306,38.44466,BCC.CSM2.MR,September,33.5,15.39999962
CP1,-122.9,38.4,BCC.CSM2.MR,October,28.70000076,11.69999981
CP2,-122.5,38.6,BCC.CSM2.MR,October,28.5,13
CP3,-122.9,38.4,BCC.CSM2.MR,October,28.70000076,11.69999981
CP4,-122.5,38.7,BCC.CSM2.MR,October,29.60000038,12.5
CP5,-122.720306,38.44466,BCC.CSM2.MR,October,30.39999962,12.5
CP1,-122.9,38.4,BCC.CSM2.MR,November,22.39999962,8.699999809
CP2,-122.5,38.6,BCC.CSM2.MR,November,20.79999924,8.800000191
CP3,-122.9,38.4,BCC.CSM2.MR,November,22.39999962,8.699999809
CP4,-122.5,38.7,BCC.CSM2.MR,November,21.60000038,8.300000191
CP5,-122.720306,38.44466,BCC.CSM2.MR,November,23.39999962,9.100000381
CP1,-122.9,38.4,BCC.CSM2.MR,December,18.20000076,6.699999809
CP2,-122.5,38.6,BCC.CSM2.MR,December,17.10000038,6.699999809
CP3,-122.9,38.4,BCC.CSM2.MR,December,18.20000076,6.699999809
CP4,-122.5,38.7,BCC.CSM2.MR,December,17.5,6
CP5,-122.720306,38.44466,BCC.CSM2.MR,December,19.29999924,7
CP1,-122.9,38.4,CanESM5,Jan,19.10000038,9
CP2,-122.5,38.6,CanESM5,Jan,18,9.199999809
CP3,-122.9,38.4,CanESM5,Jan,19.10000038,9
CP4,-122.5,38.7,CanESM5,Jan,18.39999962,8.600000381
CP5,-122.720306,38.44466,CanESM5,Jan,20.39999962,9.600000381
CP1,-122.9,38.4,CanESM5,Feb,21.5,10.10000038
CP2,-122.5,38.6,CanESM5,Feb,19,9.399999619
CP3,-122.9,38.4,CanESM5,Feb,21.5,10.10000038
CP4,-122.5,38.7,CanESM5,Feb,20,9.300000191
CP5,-122.720306,38.44466,CanESM5,Feb,23,11
CP1,-122.9,38.4,CanESM5,March,22.60000038,10.69999981
CP2,-122.5,38.6,CanESM5,March,20.39999962,9.5
CP3,-122.9,38.4,CanESM5,March,22.60000038,10.69999981
CP4,-122.5,38.7,CanESM5,March,21.89999962,10
CP5,-122.720306,38.44466,CanESM5,March,24.10000038,11.60000038
CP1,-122.9,38.4,CanESM5,April,25.89999962,11.5
CP2,-122.5,38.6,CanESM5,April,24.70000076,10.89999962
CP3,-122.9,38.4,CanESM5,April,25.89999962,11.5
CP4,-122.5,38.7,CanESM5,April,26.29999924,11.5
CP5,-122.720306,38.44466,CanESM5,April,27.79999924,12.5
CP1,-122.9,38.4,CanESM5,May,29,13.39999962
CP2,-122.5,38.6,CanESM5,May,29.39999962,13.80000019
CP3,-122.9,38.4,CanESM5,May,29,13.39999962
CP4,-122.5,38.7,CanESM5,May,31.10000038,14.60000038
CP5,-122.720306,38.44466,CanESM5,May,31.5,14.80000019
CP1,-122.9,38.4,CanESM5,June,31.70000076,15.69999981
CP2,-122.5,38.6,CanESM5,June,33.40000153,17.10000038
CP3,-122.9,38.4,CanESM5,June,31.70000076,15.69999981
CP4,-122.5,38.7,CanESM5,June,35.29999924,18
CP5,-122.720306,38.44466,CanESM5,June,34.70000076,17.5
CP1,-122.9,38.4,CanESM5,July,34,17.10000038
CP2,-122.5,38.6,CanESM5,July,37.5,20.20000076
CP3,-122.9,38.4,CanESM5,July,34,17.10000038
CP4,-122.5,38.7,CanESM5,July,39.5,20.89999962
CP5,-122.720306,38.44466,CanESM5,July,36.90000153,19
CP1,-122.9,38.4,CanESM5,August,34.09999847,18.10000038
CP2,-122.5,38.6,CanESM5,August,37.59999847,20.79999924
CP3,-122.9,38.4,CanESM5,August,34.09999847,18.10000038
CP4,-122.5,38.7,CanESM5,August,39.40000153,21.10000038
CP5,-122.720306,38.44466,CanESM5,August,36.70000076,19.70000076
CP1,-122.9,38.4,CanESM5,September,34.09999847,17.60000038
CP2,-122.5,38.6,CanESM5,September,35.59999847,19.70000076
CP3,-122.9,38.4,CanESM5,September,34.09999847,17.60000038
CP4,-122.5,38.7,CanESM5,September,37.09999847,19.60000038
CP5,-122.720306,38.44466,CanESM5,September,36.40000153,19.10000038
CP1,-122.9,38.4,CanESM5,October,32.20000076,15.69999981
CP2,-122.5,38.6,CanESM5,October,31.89999962,17.20000076
CP3,-122.9,38.4,CanESM5,October,32.20000076,15.69999981
CP4,-122.5,38.7,CanESM5,October,32.90000153,16.70000076
CP5,-122.720306,38.44466,CanESM5,October,33.90000153,16.70000076
CP1,-122.9,38.4,CanESM5,November,25.79999924,12.39999962
CP2,-122.5,38.6,CanESM5,November,24,12.60000038
CP3,-122.9,38.4,CanESM5,November,25.79999924,12.39999962
CP4,-122.5,38.7,CanESM5,November,24.70000076,12.10000038
CP5,-122.720306,38.44466,CanESM5,November,26.79999924,12.89999962
