name,result urban burnt(m^2),year,time since fire ignited(hour(s))
Tubbs_urban_to_TL2_2090_re_1009_0400,13462.6925,2090,18
Tubbs_urban_to_TL2_2090_re_1009_0600,1964464.061,2090,20
Tubbs_urban_to_TL2_2090_re_1009_0800,7227252.59,2090,22
Tubbs_urban_to_TL2_2090_re_1009_1000,10733222.91,2090,24
Tubbs_urban_to_TL2_2090_re_1009_1200,13890408.53,2090,26
Tubbs_urban_to_TL2_2090_re_1009_1400,17104232.82,2090,28
Tubbs_urban_to_TL2_2090_re_1009_1600,21786286.15,2090,30
Tubbs_urban_to_TL2_2090_re_1009_1800,21948598.6,2090,32
Tubbs_urban_to_TL2_2090_re_1009_2000,29710079.28,2090,34
Tubbs_urban_to_TL2_2090_re_1009_2200,29616064.43,2090,36
Tubbs_urban_to_TL2_2090_re_1010_0000,33074534.3,2090,38
Tubbs_urban_to_TL2_1009_0400,0,2017,18
Tubbs_urban_to_TL2_1009_0600,31077.1463,2017,20
Tubbs_urban_to_TL2_1009_1000,784650.8039,2017,24
Tubbs_urban_to_TL2_1009_1200,3417863.502,2017,26
Tubbs_urban_to_TL2_1009_1400,3932914.123,2017,28
Tubbs_urban_to_TL2_1009_1600,6427412.466,2017,30
Tubbs_urban_to_TL2_1009_1800,9816861.377,2017,32
Tubbs_urban_to_TL2_1009_2000,11086956.83,2017,34
Tubbs_urban_to_TL2_1009_2200,14727384.26,2017,36
Tubbs_urban_to_TL2_1010_0000,15887402.09,2017,38
