name,result urban burnt(m^2),year,buffer,time since fire ignited(hour(s))
1009_0200,0,2090rcp85,medium,16
1009_0300,0,2090rcp85,medium,17
1009_0400,0,2090rcp85,medium,18
1009_0500,0,2090rcp85,medium,19
1009_0600,94621.86443,2090rcp85,medium,20
1009_0700,446889.9615,2090rcp85,medium,21
1009_0800,696738.051,2090rcp85,medium,22
1009_0900,1688466.812,2090rcp85,medium,23
1009_1000,3803492.62,2090rcp85,medium,24
1009_1100,3671895.421,2090rcp85,medium,25
1009_1200,6572968.396,2090rcp85,medium,26
1009_1300,4866813.141,2090rcp85,medium,27
1009_1400,6050354.22,2090rcp85,medium,28
1009_1500,8708685.745,2090rcp85,medium,29
1009_1600,8025224.72,2090rcp85,medium,30
1009_1700,11087618.36,2090rcp85,medium,31
1009_1800,12245966.82,2090rcp85,medium,32
1009_1900,15038561.83,2090rcp85,medium,33
1009_2000,15462026.94,2090rcp85,medium,34
1009_2100,17746212.26,2090rcp85,medium,35
1009_2200,13179690.22,2090rcp85,medium,36
1009_2300,,2090rcp85,medium,37
1009_2400,,2090rcp85,medium,38
1010_0100,,2090rcp85,medium,39
1010_0200,,2090rcp85,medium,40
,,,,
1009_0200,0,2090rcp85,no,16
1009_0300,0,2090rcp85,no,17
1009_0400,1207.665365,2090rcp85,no,18
1009_0500,439322.8834,2090rcp85,no,19
1009_0600,923838.9644,2090rcp85,no,20
1009_0700,1444879.628,2090rcp85,no,21
1009_0800,2581123.539,2090rcp85,no,22
1009_0900,3891387.613,2090rcp85,no,23
1009_1000,4380954.928,2090rcp85,no,24
1009_1100,6270602.68,2090rcp85,no,25
1009_1200,8976526.181,2090rcp85,no,26
1009_1300,7645846.468,2090rcp85,no,27
1009_1400,9336497.694,2090rcp85,no,28
1009_1500,12350280.92,2090rcp85,no,29
1009_1600,14888292.45,2090rcp85,no,30
1009_1700,16472115.28,2090rcp85,no,31
1009_1800,19878571.21,2090rcp85,no,32
1009_1900,20278754.52,2090rcp85,no,33
1009_2000,20922952.51,2090rcp85,no,34
1009_2100,20608486.93,2090rcp85,no,35
1009_2200,22519327.37,2090rcp85,no,36
1009_2300,22421792.7,2090rcp85,no,37
1009_2400,24602874.61,2090rcp85,no,38
1010_0100,25742419.26,2090rcp85,no,39
1010_0200,26235812.36,2090rcp85,no,40
