name,result_urban_burnt,buffer,time_since_fire_ignited
Tubbs_urban_to_TL2_banana_buffer_1009_1200,718149.4773,banana_buffer,26
Tubbs_urban_to_TL2_banana_buffer_1009_1500,3322394.998,banana_buffer,29
Tubbs_urban_to_TL2_banana_buffer_1009_1800,3811900.52,banana_buffer,32
Tubbs_urban_to_TL2_banana_buffer_1009_2100,5159466.963,banana_buffer,35
Tubbs_urban_to_TL2_banana_buffer_1009_2400,7354944.689,banana_buffer,38
Tubbs_urban_to_TL2_banana_buffer_1010_0300,14605732.04,banana_buffer,41
Tubbs_urban_to_TL2_1009_1200,3417863.502,no,26
Tubbs_urban_to_TL2_1009_1500,4491833.602,no,29
Tubbs_urban_to_TL2_1009_1800,9816861.377,no,32
Tubbs_urban_to_TL2_1009_2100,12202957.59,no,35
Tubbs_urban_to_TL2_1010_0000,15887402.09,no,38
Tubbs_urban_to_TL2_1010_0300,18623256.31,no,41
