name,result_urban_burnt(m^2),buffer,time_since_fire_ignited(hour(s))
Tubbs_urban_to_TL2_vineyard633_1009_0200,0,vineyard633,16
Tubbs_urban_to_TL2_vineyard633_1009_0300,0,vineyard633,17
Tubbs_urban_to_TL2_vineyard633_1009_0400,0,vineyard633,18
Tubbs_urban_to_TL2_vineyard633_1009_0500,207781.9856,vineyard633,19
Tubbs_urban_to_TL2_vineyard633_1009_0600,245474.9699,vineyard633,20
Tubbs_urban_to_TL2_vineyard633_1009_0700,1344918.167,vineyard633,21
Tubbs_urban_to_TL2_vineyard633_1009_0800,230683.3754,vineyard633,22
Tubbs_urban_to_TL2_vineyard633_1009_0900,3181719.382,vineyard633,23
Tubbs_urban_to_TL2_vineyard633_1009_1000,2091692.143,vineyard633,24
Tubbs_urban_to_TL2_vineyard633_1009_1100,3394974.29,vineyard633,25
Tubbs_urban_to_TL2_vineyard633_1009_1200,6053207.115,vineyard633,26
Tubbs_urban_to_TL2_vineyard633_1009_1300,6803004.928,vineyard633,27
Tubbs_urban_to_TL2_vineyard633_1009_1400,7309104.582,vineyard633,28
Tubbs_urban_to_TL2_vineyard633_1009_1500,9494983.86,vineyard633,29
Tubbs_urban_to_TL2_vineyard633_1009_1600,9758673.846,vineyard633,30
Tubbs_urban_to_TL2_vineyard633_1009_1700,12996605.07,vineyard633,31
Tubbs_urban_to_TL2_vineyard633_1009_1800,10270769.63,vineyard633,32
Tubbs_urban_to_TL2_vineyard633_1009_1900,11891937.13,vineyard633,33
Tubbs_urban_to_TL2_vineyard633_1009_2000,15017561.73,vineyard633,34
Tubbs_urban_to_TL2_vineyard633_1009_2100,14063232.2,vineyard633,35
Tubbs_urban_to_TL2_vineyard633_1009_2200,16443358.32,vineyard633,36
Tubbs_urban_to_TL2_vineyard633_1009_2300,18896583.62,vineyard633,37
Tubbs_urban_to_TL2_vineyard633_1009_2400,17947522.95,vineyard633,38
Tubbs_urban_to_TL2_vineyard633_1010_0100,20531257.56,vineyard633,39
Tubbs_urban_to_TL2_vineyard633_1010_0200,18626783.94,vineyard633,40
Tubbs_urban_to_TL2_banana_buffer633_1009_0200,0,banana_buffer633,16
Tubbs_urban_to_TL2_banana_buffer633_1009_0300,0,banana_buffer633,17
Tubbs_urban_to_TL2_banana_buffer633_1009_0400,0,banana_buffer633,18
Tubbs_urban_to_TL2_banana_buffer633_1009_0500,0,banana_buffer633,19
Tubbs_urban_to_TL2_banana_buffer633_1009_0600,3810.25609,banana_buffer633,20
Tubbs_urban_to_TL2_banana_buffer633_1009_0700,0,banana_buffer633,21
Tubbs_urban_to_TL2_banana_buffer633_1009_0800,0,banana_buffer633,22
Tubbs_urban_to_TL2_banana_buffer633_1009_0900,797.664131,banana_buffer633,23
Tubbs_urban_to_TL2_banana_buffer633_1009_1000,16903.98654,banana_buffer633,24
Tubbs_urban_to_TL2_banana_buffer633_1009_1100,1079780.635,banana_buffer633,25
Tubbs_urban_to_TL2_banana_buffer633_1009_1200,169630.6759,banana_buffer633,26
Tubbs_urban_to_TL2_banana_buffer633_1009_1300,1818232.562,banana_buffer633,27
Tubbs_urban_to_TL2_banana_buffer633_1009_1400,2539610.658,banana_buffer633,28
Tubbs_urban_to_TL2_banana_buffer633_1009_1500,3074857.974,banana_buffer633,29
