name,result urban burnt(m^2),year,time since fire ignited(hour(s))
1009_0200,0,2090rcp45,16
1009_0600,206957.2085,2090rcp45,20
1009_1000,4156103.245,2090rcp45,24
1009_1400,6322677.055,2090rcp45,28
1009_1800,15170291.04,2090rcp45,32
,,,
,,,
1009_0200,0,2090rcp85,16
1009_0600,923838.9644,2090rcp85,20
1009_1000,4380954.928,2090rcp85,24
1009_1400,9336497.694,2090rcp85,28
1009_1800,19878571.21,2090rcp85,32
,,,
,,,
Tubbs_urban_to_TL2_1009_0600,31077.1463,2017,20
Tubbs_urban_to_TL2_1009_0700,50184.85772,2017,21
Tubbs_urban_to_TL2_1009_0900,47457.0347,2017,23
Tubbs_urban_to_TL2_1009_1000,784650.8039,2017,24
Tubbs_urban_to_TL2_1009_1100,3071837.046,2017,25
Tubbs_urban_to_TL2_1009_1200,3417863.502,2017,26
Tubbs_urban_to_TL2_1009_1300,4335341.032,2017,27
Tubbs_urban_to_TL2_1009_1400,3932914.123,2017,28
Tubbs_urban_to_TL2_1009_1500,4491833.602,2017,29
Tubbs_urban_to_TL2_1009_1600,6427412.466,2017,30
Tubbs_urban_to_TL2_1009_1700,7224120.671,2017,31
Tubbs_urban_to_TL2_1009_1800,9816861.377,2017,32
