name,result urban burnt(m^2),year,buffer,time since fire ignited(hour(s))
Tubbs_urban_to_TL2_2090_re_1009_0400,13462.6925,2090,no,18
Tubbs_urban_to_TL2_2090_re_1009_0600,1964464.061,2090,no,20
Tubbs_urban_to_TL2_2090_re_1009_0800,7227252.59,2090,no,22
Tubbs_urban_to_TL2_2090_re_1009_1000,10733222.91,2090,no,24
Tubbs_urban_to_TL2_2090_re_1009_1200,13890408.53,2090,no,26
Tubbs_urban_to_TL2_2090_re_1009_1400,17104232.82,2090,no,28
Tubbs_urban_to_TL2_2090_re_1009_1600,21786286.15,2090,no,30
Tubbs_urban_to_TL2_2090_re_1009_1800,21948598.6,2090,no,32
Tubbs_urban_to_TL2_2090_re_1009_2000,29710079.28,2090,no,34
Tubbs_urban_to_TL2_2090_re_1009_2200,29616064.43,2090,no,36
Tubbs_urban_to_TL2_2090_re_1010_0000,33074534.3,2090,no,38
Tubbs_urban_to_TL2_2090_banana390_1009_0200,0,2090,banana390,16
Tubbs_urban_to_TL2_2090_banana390_1009_0600,570210.5021,2090,banana390,20
Tubbs_urban_to_TL2_2090_banana390_1009_1000,6802298.106,2090,banana390,24
Tubbs_urban_to_TL2_2090_banana390_1009_1400,12803040,2090,banana390,28
Tubbs_urban_to_TL2_2090_banana390_1009_1800,22206600.36,2090,banana390,32
Tubbs_urban_to_TL2_2090_banana390_1009_2200,27551344.28,2090,banana390,36
Tubbs_urban_to_TL2_2090_banana390_1010_0200,28782083.2,2090,banana390,40
Tubbs_urban_to_TL2_2090_NB390_1009_0200,0,2090,NB390,16
Tubbs_urban_to_TL2_2090_NB390_1009_0600,1263427.36,2090,NB390,20
Tubbs_urban_to_TL2_2090_NB390_1009_1000,6804404.16,2090,NB390,24
Tubbs_urban_to_TL2_2090_NB390_1009_1400,12030420.69,2090,NB390,28
Tubbs_urban_to_TL2_2090_NB390_1009_1800,21662961.22,2090,NB390,32
Tubbs_urban_to_TL2_2090_NB390_1009_2200,28739699.06,2090,NB390,36
Tubbs_urban_to_TL2_2090_NB390_1010_0200,33171524.47,2090,NB390,40
Tubbs_urban_to_TL2_2090_banana1070_1009_0200,0,2090,banana1070,16
Tubbs_urban_to_TL2_2090_banana1070_1009_0600,0,2090,banana1070,20
Tubbs_urban_to_TL2_2090_banana1070_1009_1000,3622555.678,2090,banana1070,24
Tubbs_urban_to_TL2_2090_banana1070_1009_1400,3717807.45,2090,banana1070,28
Tubbs_urban_to_TL2_2090_banana1070_1009_1800,8138409.529,2090,banana1070,32
Tubbs_urban_to_TL2_2090_banana1070_1009_2200,8210872.941,2090,banana1070,36
Tubbs_urban_to_TL2_2090_banana1070_1010_0200,14324570.66,2090,banana1070,40
Tubbs_urban_to_TL2_2090_banana677_1009_0200,0,2090,banana677,16
Tubbs_urban_to_TL2_2090_banana677_1009_0600,181014.5256,2090,banana677,20
Tubbs_urban_to_TL2_2090_banana677_1009_1000,4177685.931,2090,banana677,24
Tubbs_urban_to_TL2_2090_banana677_1009_1400,13194100.11,2090,banana677,28
Tubbs_urban_to_TL2_2090_banana677_1009_1800,19066682.16,2090,banana677,32
Tubbs_urban_to_TL2_2090_banana677_1009_2200,21757461.17,2090,banana677,36
Tubbs_urban_to_TL2_2090_banana677_1010_0200,24823740.05,2090,banana677,40
