name,result_urban_burnt,buffer,time_since_fire_ignited
Tubbs_urban_to_TL2_banana_buffer390_1009_1200,718149.4773,banana_buffer390,26
Tubbs_urban_to_TL2_banana_buffer390_1009_1500,3322394.998,banana_buffer390,29
Tubbs_urban_to_TL2_banana_buffer390_1009_1800,3811900.52,banana_buffer390,32
Tubbs_urban_to_TL2_banana_buffer390_1009_2100,5159466.963,banana_buffer390,35
Tubbs_urban_to_TL2_banana_buffer390_1009_2400,7354944.689,banana_buffer390,38
Tubbs_urban_to_TL2_banana_buffer390_1010_0300,14605732.04,banana_buffer390,41
Tubbs_urban_to_TL2_1009_1200,3417863.502,no,26
Tubbs_urban_to_TL2_1009_1500,4491833.602,no,29
Tubbs_urban_to_TL2_1009_1800,9816861.377,no,32
Tubbs_urban_to_TL2_1009_2100,12202957.59,no,35
Tubbs_urban_to_TL2_1010_0000,15887402.09,no,38
Tubbs_urban_to_TL2_1010_0300,18623256.31,no,41
Tubbs_urban_to_TL2_banana_buffer633_1009_1200,169630.6759,banana_buffer633,26
Tubbs_urban_to_TL2_banana_buffer633_1009_1500,3074857.974,banana_buffer633,29
Tubbs_urban_to_TL2_banana_buffer633_1009_1800,3640787.739,banana_buffer633,32
Tubbs_urban_to_TL2_banana_buffer633_1009_2100,4337471.247,banana_buffer633,35
Tubbs_urban_to_TL2_banana_buffer633_1009_2400,9523822.557,banana_buffer633,38
Tubbs_urban_to_TL2_banana_buffer633_1010_0300,4959869.835,banana_buffer633,41
Tubbs_urban_to_TL2_banana_buffer_1009_1200,1564217.096,banana_buffer,26
Tubbs_urban_to_TL2_banana_buffer_1009_1500,5659572.55,banana_buffer,29
Tubbs_urban_to_TL2_banana_buffer_1009_1800,7571058.995,banana_buffer,32
Tubbs_urban_to_TL2_banana_buffer_1009_2100,8557750.534,banana_buffer,35
Tubbs_urban_to_TL2_banana_buffer_1009_2400,15737313.63,banana_buffer,38
Tubbs_urban_to_TL2_banana_buffer_1010_0300,17466943.92,banana_buffer,41
Tubbs_urban_to_TL2_nb_buffer633_1009_1200_wind_3,0,nb_buffer633_wind_3,26
Tubbs_urban_to_TL2_nb_buffer633_1009_1500_wind_3,0,nb_buffer633_wind_3,29
Tubbs_urban_to_TL2_nb_buffer633_1009_1800_wind_3,0,nb_buffer633_wind_3,32
Tubbs_urban_to_TL2_nb_buffer633_1009_2100_wind_3,0,nb_buffer633_wind_3,35
Tubbs_urban_to_TL2_nb_buffer633_1009_2400_wind_3,0,nb_buffer633_wind_3,38
Tubbs_urban_to_TL2_nb_buffer633_1010_0300_wind_3,0,nb_buffer633_wind_3,41
